Event Name	Start Time	End Time	Latitude	Longitude	Venue Name	Street	City	Region	Postalcode	Country	Price	URL	Type	
Concerts at St. John Evangelist	2009-04-23 20:00:00 +0000	2009-04-23 21:30:00 +0000	42.36066	-71.06299	Church of St. John Evangelist	35 Bowdoin St.	Boston	MA	02114	United States	 donation requested	http://www.stjev.org	Classical
Club Carib&#233;: Boston's HOT New Salsa Club	2009-04-23 20:00:00 +0000	2009-04-24 01:30:00 +0000	42.3589	-71.1156	Club Carib&#233; at the Courtyard Marriott	777 Memorial Dr.	Cambridge	MA	02139	United States	 $10	http://salsaboston.com/caribe	World Music
Kiniwe: African Music and Dance	2009-04-23 20:00:00 +0000		42.40471	-71.11919	Jackson Dance Lab - Aidekman Arts Center	40 Talbot Ave.	Medford	MA	02144	United States	 Free	?	World Music
Boston Symphony Orchestra 'Ravel, Stravinsky, Debussy And Shostakovich'	2009-04-23 20:00:00 +0000		42.34266	-71.08473	Boston Symphony Hall	301 Massachusetts Ave.	Boston	MA	02115	United States	 $29-$105	http://www.bso.org	Classical
Nicholas Payton	2009-04-23 20:00:00 +0000		42.36165	-71.11788	Scullers Jazz Club	400 Soldiers Field Rd.	Boston	MA	02134	United States	 $25.00	http://www.scullersjazz.com/	Jazz
Jazz Revelation Records CD Release Concert	2009-04-23 20:15:00 +0000		42.34715	-71.08746	Berklee Performance Center	136 Massachusetts  Ave.	Boston	MA	02115	United States	 $10; $5 for seniors	http://berkleebpc.com	Jazz
Headlights, The Love Language	2009-04-23 20:30:00 +0000	2009-04-24 02:00:00 +0000	42.36372	-71.10165	T.T. the Bear's Place	10 Brookline St.	Cambridge	MA	02138	United States	 $9.00	http://www.ttthebears.com	Pop
Headlights featuring The Love Language	2009-04-23 20:30:00 +0000		42.36372	-71.10165	T.T. the Bear's Place	10 Brookline St.	Cambridge	MA	02138	United States	 $9.00	http://www.ttthebears.com	Alternative
The Infractions- New England's Premier Club &amp;amp; Party Band!	2009-04-23 20:30:00 +0000		42.24481	-71.00329	The Commonwealth Restaurant &amp; Lounge	79 Parkingway	Quincy	MA	02169	United States	 $5 Cover	http://www.commonwealthrestaurant.com	Rock
Karaoke	2009-04-23 21:00:00 +0000		42.64287	-71.30853	Mickey's Irish Pub	179 Central St.	Lowell	MA	01852	United States	 Free	http://www.MickeyDoyle.com	Music
The &amp;quot;I'll Drink To That!&amp;quot; New Music Series	2009-04-23 21:00:00 +0000		42.34908	-71.15249	Porter Belly's Pub	338 Washington St.	Boston	MA	02135	United States	 Free	http://www.porterbellyspub.com/	Performing Arts
Pum Pum Thursdays	2009-04-23 21:00:00 +0000		42.08485	-71.019	Club Tekoah	34 Petronelli Way	Boston	MA	02301	United States	 $10 Ladies FREE before 10:30	?	Rhythm &amp; Blues
Thursdays	2009-04-23 21:00:00 +0000		42.3508	-71.0701	Whiskey Park	64 Arlington St.	Boston	MA	02116	United States	?	http://www.bostonparkplaza.com/whiskeypark.shtml	Rap/Hip-Hop
Thursday Night Live Music Series	2009-04-23 21:00:00 +0000		42.64512	-71.31033	The Village Smokehouse	98 Middle Street	Lowell	MA	01852	United States	 Free	http://www.villagesmokehouse.com	Music
Throwback Thursdays	2009-04-23 21:00:00 +0000	2009-04-24 02:00:00 +0000	42.34873	-71.09509	The Foundation Lounge	500 Commonwealth Ave.	Boston	MA	02215	United States	 No Cover	http://www.thefoundationlounge.com	Pop
Quintron &amp;amp; Miss Pussycat	2009-04-23 21:00:00 +0000		42.36393	-71.10122	Middle East Club	472 Massachusetts Ave.	Cambridge	MA	02139	United States	 $12.00	http://www.mideastclub.com/	Alternative
Cash Bash! (Johnny Cash Tribute Night)	2009-04-23 21:00:00 +0000		42.39725	-71.12317	Johnny D's Restaurant &amp; Music Club	17 Holland St.	Somerville	MA	02144	United States	?	http://www.johnnyds.com	Country
Alexi Murdoch	2009-04-23 21:00:00 +0000		42.35163	-71.11925	Paradise Rock Club	967 Commonwealth Ave.	Boston	MA	02215	United States	?	http://www.thedise.com/	Music
Boston Unplugged ( Live Music Benefit)	2009-04-23 21:00:00 +0000	2009-04-24 02:00:00 +0000	42.35406	-71.06232	FELT Club	533 Washington St.	Boston	MA	02111	United States	 $10	http://www.feltclubboston.com/	Rhythm &amp; Blues
	2009-04-23 21:30:00 +0000		42.299	-71.4435	Samba Steak + Sushi	1138 Worcester Rd.	Framingham	MA	01702	United States	 Free	?	Music
Fonseca	2009-04-23 21:30:00 +0000		42.34982	-71.06525	The Roxy	279 Tremont St.	Boston	MA	02116	United States	 $30.00	http://www.roxyplex.com/v2roxy/	Music
Jet Thursdays	2009-04-23 22:00:00 +0000		42.49071	-71.01629	Tabu - Ultra Lounge	168 Broadway	Saugus	MA	01906	United States	?	http://www.tabuboston.com/base-ultralounge.html	Music
Cheap Cologne	2009-04-23 22:00:00 +0000	2009-04-24 02:00:00 +0000	42.3719	-71.12091	Redline Food &amp; Drink	59 JFK St. (Harvard Square)	Cambridge	MA	02138	United States	 Free	http://www.redlinecambridge.com	Music
Rio Real Impulsive Orgasm	2009-04-23 22:00:00 +0000		42.34479	-71.09636	Machine Nightclub	1254 Boylston St.	Boston	MA	02115	United States	?	http://www.nightclubmachine.com	Music
Lagoon, From Rhode Island	2009-04-23 22:30:00 +0000		42.31988	-71.11168	Alchemist Lounge	435 S. Huntington Ave.	Jamaica Plain	MA	02130	United States	 Always Free	http://www.alchemistlounge.com	Pop
